# index Name dist e_dist inc e_inc L36 MHI type Reff
70 NGC5371 39.70000 9.92000 53.00000 2.00000 340.39300 11.18000 4 9.80000
71 NGC5585 7.06000 2.12000 51.00000 2.00000 2.94300 1.68300 7 2.27000
72 NGC5907 17.30000 0.90000 88.00000 2.00000 175.42500 21.02500 5 7.88000
73 NGC5985 39.70000 9.90000 60.00000 2.00000 208.72800 11.58600 3 10.71000
74 NGC6015 17.00000 5.10000 60.00000 2.00000 32.12900 5.83400 6 3.92000
75 NGC6195 127.80000 12.80000 62.00000 5.00000 391.07600 20.90700 3 9.52000
76 NGC6503 6.26000 0.31000 74.00000 2.00000 12.84500 1.74400 6 1.62000
77 NGC6674 51.20000 10.20000 54.00000 6.00000 214.65400 32.16500 3 7.75000
78 NGC6789 3.52000 0.18000 43.00000 7.00000 0.10000 0.01700 11 0.52000
79 NGC6946 5.52000 1.66000 38.00000 2.00000 66.17300 5.67000 6 4.20000
80 NGC7331 14.70000 1.50000 75.00000 2.00000 250.63100 11.06700 3 3.99000
81 NGC7793 3.61000 0.18000 47.00000 9.00000 7.05000 0.86100 7 2.19000
82 NGC7814 14.40000 0.66000 90.00000 1.00000 74.52900 1.07000 2 2.08000
83 UGC00128 64.50000 9.70000 57.00000 10.00000 12.02000 7.43100 8 9.63000
84 UGC00191 17.10000 5.10000 45.00000 5.00000 2.00400 1.34300 9 2.50000
85 UGC00634 30.90000 7.70000 37.00000 8.00000 2.98900 3.66300 9 4.26000
86 UGC00731 12.50000 3.75000 57.00000 3.00000 0.32300 1.80700 10 1.40000
87 UGC00891 10.20000 3.10000 60.00000 5.00000 0.37400 0.42800 9 1.76000
88 UGC01281 5.27000 0.24000 90.00000 1.00000 0.35300 0.29400 8 2.01000
89 UGC02259 10.50000 3.10000 41.00000 3.00000 1.72500 0.49400 8 2.40000
90 UGC02487 69.10000 10.40000 36.00000 5.00000 489.95500 17.96300 0 9.63000
91 UGC02885 80.60000 8.06000 64.00000 4.00000 403.52500 40.07500 5 12.20000
92 UGC02916 65.40000 9.80000 50.00000 5.00000 124.15300 23.27300 2 2.80000
93 UGC02953 16.50000 4.95000 50.00000 4.00000 259.51800 7.67800 2 5.03000
94 UGC03205 50.00000 10.00000 67.00000 4.00000 113.64200 9.67700 2 5.35000
95 UGC03546 28.70000 7.20000 55.00000 5.00000 101.33600 2.67500 1 2.58000
96 UGC03580 20.70000 5.20000 63.00000 4.00000 13.26600 4.37000 1 1.84000
97 UGC04278 9.51000 2.85000 90.00000 3.00000 1.30700 1.11600 7 2.46000
98 UGC04325 9.60000 2.88000 41.00000 3.00000 2.02600 0.67800 9 2.79000
99 UGC04483 3.34000 0.31000 58.00000 3.00000 0.01300 0.03200 10 0.26000
100 UGC04499 12.50000 3.75000 50.00000 3.00000 1.55200 1.10000 8 2.69000
101 UGC05253 22.90000 5.72000 37.00000 4.00000 171.58200 16.39600 2 4.28000
102 UGC05414 9.40000 2.82000 55.00000 3.00000 1.12300 0.57400 10 2.33000
103 UGC05716 21.30000 5.30000 54.00000 10.00000 0.58800 1.09400 9 1.84000
104 UGC05721 6.18000 1.85000 61.00000 5.00000 0.53100 0.56200 7 0.60000
105 UGC05750 58.70000 11.70000 64.00000 10.00000 3.33600 1.09900 8 8.80000
106 UGC05764 7.47000 2.24000 60.00000 10.00000 0.08500 0.16300 10 1.20000
107 UGC05829 8.64000 2.59000 34.00000 10.00000 0.56400 1.02300 10 2.91000
108 UGC05918 7.66000 2.30000 46.00000 5.00000 0.23300 0.29700 10 2.63000
109 UGC05986 8.63000 2.59000 90.00000 3.00000 4.69500 2.66700 9 3.12000
110 UGC06399 18.00000 2.50000 75.00000 2.00000 2.29600 0.67400 9 3.45000
111 UGC06446 12.00000 3.60000 51.00000 3.00000 0.98800 1.37900 7 2.06000
112 UGC06614 88.70000 8.87000 36.00000 10.00000 124.35000 21.88800 1 3.68000
113 UGC06667 18.00000 2.50000 89.00000 1.00000 1.39700 0.80900 6 3.50000
114 UGC06786 29.30000 7.32000 64.00000 3.00000 73.40700 5.03000 0 3.42000
115 UGC06787 21.30000 5.32000 66.00000 3.00000 98.25600 5.03000 2 2.88000
116 UGC06818 18.00000 2.50000 75.00000 3.00000 1.58800 1.07900 9 2.12000
117 UGC06917 18.00000 2.50000 56.00000 2.00000 6.83200 2.02300 9 4.52000
118 UGC06923 18.00000 2.50000 65.00000 2.00000 2.89000 0.80900 10 1.66000
119 UGC06930 18.00000 2.50000 32.00000 5.00000 8.93200 3.23700 7 4.38000
120 UGC06983 18.00000 2.50000 49.00000 1.00000 5.29800 2.96700 6 3.95000
121 UGC07089 18.00000 2.50000 80.00000 3.00000 3.58500 1.21400 8 3.90000
122 UGC07125 19.80000 5.90000 90.00000 3.00000 2.71200 4.62900 9 3.92000
123 UGC07151 6.87000 0.34000 90.00000 3.00000 2.28400 0.61600 6 2.17000
124 UGC07232 2.83000 0.17000 59.00000 5.00000 0.11300 0.04600 10 0.46000
125 UGC07261 13.10000 3.93000 30.00000 10.00000 1.75300 1.38800 8 2.66000
126 UGC07323 8.00000 2.40000 47.00000 3.00000 4.10900 0.72200 8 3.26000
127 UGC07399 8.43000 2.53000 55.00000 3.00000 1.15600 0.74500 8 1.27000
128 UGC07524 4.74000 0.24000 46.00000 3.00000 2.43600 1.77900 9 3.61000
129 UGC07603 4.70000 1.41000 78.00000 3.00000 0.37600 0.25800 7 0.85000
130 UGC07690 8.11000 2.43000 41.00000 5.00000 0.85800 0.39000 10 0.86000
131 UGC08286 6.50000 0.21000 90.00000 3.00000 1.25500 0.64200 6 2.25000
132 UGC08490 4.65000 0.53000 50.00000 3.00000 1.01700 0.72000 9 1.14000
133 UGC08550 6.70000 2.00000 90.00000 3.00000 0.28900 0.28800 7 1.01000
134 UGC08699 39.30000 9.82000 73.00000 9.00000 50.30200 3.73800 2 1.91000
135 UGC08837 7.21000 0.36000 80.00000 5.00000 0.50100 0.32000 10 2.25000
136 UGC09037 83.60000 8.40000 65.00000 5.00000 68.61400 19.07800 6 5.69000
137 UGC09133 57.10000 11.40000 53.00000 6.00000 282.92600 33.42800 2 5.92000
138 UGC10310 15.20000 4.60000 34.00000 6.00000 1.74100 1.19600 9 3.12000
139 UGC11455 78.60000 11.80000 90.00000 1.00000 374.32200 13.33500 6 10.06000
140 UGC11557 24.20000 6.05000 30.00000 10.00000 12.10100 2.60500 8 4.18000
141 UGC11820 18.10000 5.43000 45.00000 10.00000 0.97000 1.97700 9 2.74000
142 UGC11914 16.90000 5.10000 31.00000 5.00000 150.02800 0.88800 2 3.12000
143 UGC12506 100.60000 10.10000 86.00000 4.00000 139.57100 35.55600 6 12.36000
144 UGC12632 9.77000 2.93000 46.00000 3.00000 1.30100 1.74400 9 3.94000
145 UGC12732 13.20000 4.00000 39.00000 6.00000 1.66700 3.66000 9 3.12000
146 UGCA442 4.35000 0.22000 64.00000 7.00000 0.14000 0.26300 9 1.71000
