# Name log10(gN_ext [km/s^2]) log10(g_ext [km/s^2]) errlow_log10(g_ext [km/s^2]) errhigh_log10(g_ext [km/s^2])
UGC04305 -16.914 -14.423 0.033 0.087
UGC04325 -17.008 -14.411 0.056 0.061
UGC04483 -16.950 -14.402 0.069 0.073
UGC04499 -16.776 -14.376 0.059 0.063
UGC05005 -17.195 -14.523 0.075 0.027
UGC05253 -17.030 -14.458 0.066 0.044
UGC05414 -16.983 -14.390 0.043 0.062
UGC05716 -16.886 -14.280 0.064 0.047
UGC05721 -16.998 -14.409 0.022 0.081
UGC05750 -17.185 -14.533 0.070 0.060
UGC05764 -16.980 -14.413 0.032 0.118
UGC05829 -16.966 -14.400 0.037 0.109
UGC05918 -16.950 -14.355 0.060 0.055
UGC05986 -16.960 -14.387 0.035 0.080
UGC05999 -17.128 -14.420 0.064 0.007
UGC06399 -16.794 -14.343 0.058 0.044
UGC06446 -16.949 -14.346 0.066 0.053
UGC06614 -17.286 -14.607 0.064 0.076
UGC06628 -16.895 -14.359 0.054 0.043
UGC06667 -16.553 -14.350 0.044 0.071
UGC06786 -16.861 -14.226 0.062 0.068
UGC06787 -16.945 -14.342 0.061 0.020
UGC06818 -16.856 -14.313 0.074 0.057
UGC06917 -16.713 -14.313 0.070 0.016
UGC06923 -16.231 -14.236 0.077 0.054
UGC06930 -16.797 -14.340 0.059 0.042
UGC06973 -16.766 -14.295 0.044 0.069
UGC06983 -16.190 -14.217 0.109 0.058
UGC07089 -16.752 -14.266 0.070 0.058
UGC07125 -16.734 -14.222 0.066 0.115
UGC07151 -16.381 -14.342 0.071 0.063
UGC07232 -17.040 -14.401 0.039 0.089
UGC07261 -16.828 -14.251 0.064 0.080
UGC07323 -16.804 -14.328 0.057 0.058
UGC07399 -16.776 -14.348 0.032 0.097
UGC07524 -16.983 -14.364 0.052 0.079
UGC07559 -16.974 -14.364 0.041 0.076
UGC07577 -17.047 -14.385 0.063 0.072
UGC07603 -16.973 -14.359 0.051 0.077
UGC07608 -16.912 -14.358 0.025 0.072
UGC07690 -16.873 -14.356 0.033 0.088
UGC07866 -16.991 -14.357 0.059 0.067
UGC08286 -16.797 -14.319 0.042 0.064
UGC08490 -16.863 -14.359 0.041 0.061
UGC08550 -16.821 -14.314 0.041 0.063
UGC08699 -15.593 -14.779 0.231 0.568
UGC08837 -16.833 -14.306 0.053 0.055
UGC09037 -17.280 -14.633 0.056 0.033
UGC09133 -16.593 -14.532 0.133 0.018
UGC09992 -16.918 -14.341 0.028 0.048
UGC10310 -16.967 -14.340 0.049 0.037
UGC11455 -16.909 -14.506 0.069 0.080
UGC11557 -17.105 -14.528 0.060 0.014
UGC11820 -17.140 -14.547 0.050 0.034
UGC11914 -17.124 -14.542 0.056 0.036
UGC12506 -16.947 -14.485 0.026 0.043
UGC12632 -17.114 -14.511 0.025 0.059
UGC12732 -17.140 -14.531 0.071 0.017
UGCA281 -16.884 -14.361 0.033 0.079
UGCA442 -17.135 -14.457 0.039 0.062
UGCA444 -17.098 -14.422 0.071 0.071
